feature,importance
entir,7.747392487986159e-05
hook,7.741081646556105e-05
color beauti,7.733777091481348e-05
shot,7.733624106923783e-05
chewer,7.732758488133195e-05
summer,7.713473923890683e-05
door,7.705112869080544e-05
book must,7.688195714742878e-05
band,7.656019508502322e-05
easi read,7.653335071083127e-05
properli,7.635610347724482e-05
child,7.633898031100578e-05
mount,7.617394455104806e-05
cool,7.611739364930353e-05
leather,7.600299130338327e-05
fix,7.591536130339833e-05
second one,7.586716621718433e-05
behind,7.579813986907338e-05
kept interest,7.573732370196162e-05
grandson,7.572048239983002e-05
great qualiti,7.546195294656487e-05
construct,7.537592843039561e-05
